"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Switchboards"
,"Scope",,
,"Rows"
,,"Switchboards","dynamic","switchboards"
,"Columns"
,,"Fixings installed in wall correctly if board is wall mounted",,"fixings installed in wall correctly if board is wall mounted"
,,"All clearances sighted to ensure location is compliant",,"all clearances sighted to ensure location is compliant"
,,"All cables correctly installed in protection device and earth and neutral bars and fully secured",,"all cables correctly installed in protection device and earth and neutral bars and fully secured"
,,"Cables neatly dressed",,"cables neatly dressed"
,,"Phase tabs on chassy covered",,"phase tabs on chassy covered"
,,"All earths and neutrals labelled to match phase numbers",,"all earths and neutrals labelled to match phase numbers"
,,"Switchboard is clean on the inside and outside",,"switchboard is clean on the inside and outside"
,,"Masking blanks installed",,"masking blanks installed"
,,"Feisst label on the door installed",,"feisst label on the door installed"
,,"Switchboard Tested & Passed, results uploaded to drive via iPad",,"switchboard tested & passed, results uploaded to drive via ipad"
,,"DB legend installed",,"db legend installed"
,,"Photos",,"photos"

"Cable Tray"
,"Scope",,
,"Rows"
,,"Cable Tray","dynamic","cable tray"
,"Columns"
,,"Unistrutt Filled & Painted",,"unistrutt filled & painted"
,,"Hangers Spaced as Specified",,"hangers spaced as specified"
,,"Correct Size Tray Installed",,"correct size tray installed"
,,"Tray Joined Correctly",,"tray joined correctly"
,,"Hangers Seismic Restrained as per Design",,"hangers seismic restrained as per design"
,,"Tray Fastened to Hangers",,"tray fastened to hangers"
,,"Correct Anchors used fixing to Ceiling",,"correct anchors used fixing to ceiling"
,,"Cable Tray Bonded",,"cable tray bonded"
,,"Photos",,"photos"

"First Fix"
,"Scope",,
,"Rows"
,,"Lower Basement","dynamic","lower basement","first fix"
,,"Upper Basement","dynamic","upper basement","first fix"
,,"Ground Floor","dynamic","ground floor","first fix"
,,"Level 2 - Apartment 11","dynamic","apartment 11","level 2","first fix"
,,"Level 2 - Apartment 12","dynamic","apartment 12","level 2","first fix"
,,"Level 2 - Apartment 13","dynamic","level 2","first fix","apartment 13"
,,"Level 3 - Common Areas","dynamic","common areas","first fix","level 3"
,,"Level 3 - Apartment 01","dynamic","apartment 01","first fix","level 3"
,,"Level 3 - Apartment 02","dynamic","first fix","level 3","apartment 02"
,,"Level 3 - Apartment 03","dynamic","apartment 03","first fix","level 3"
,,"Level 3 - Apartment 04","dynamic","apartment 04","first fix","level 3"
,,"Level 3 - Apartment 05","dynamic","apartment 05","first fix","level 3"
,,"Level 3 - Apartment 06","dynamic","first fix","level 3","apartment 06"
,,"Level 3 - Apartment 07","dynamic","apartment 07","first fix","level 3"
,,"Level 3 - Apartment 08","dynamic","apartment 08","first fix","level 3"
,,"Level 3 - Apartment 09","dynamic","apartment 09","first fix","level 3"
,,"Level 3 - Apartment 10","dynamic","apartment 10","first fix","level 3"
,,"Level 3 - Apartment 11","dynamic","apartment 11","first fix","level 3"
,,"Level 3 - Apartment 12","dynamic","apartment 12","first fix","level 3"
,,"Level 3 - Apartment 13","dynamic","first fix","level 3","apartment 13"
,,"Level 4 - Common Areas","dynamic","level 4","common areas","first fix"
,,"Level 4 - Apartment 01","dynamic","level 4","apartment 01","first fix"
,,"Level 4 - Apartment 02","dynamic","level 4","first fix","apartment 02"
,,"Level 4 - Apartment 03","dynamic","level 4","apartment 03","first fix"
,,"Level 4 - Apartment 04","dynamic","level 4","apartment 04","first fix"
,,"Level 4 - Apartment 05","dynamic","level 4","apartment 05","first fix"
,,"Level 4 - Apartment 06","dynamic","level 4","first fix","apartment 06"
,,"Level 4 - Apartment 07","dynamic","level 4","apartment 07","first fix"
,,"Level 4 - Apartment 08","dynamic","level 4","apartment 08","first fix"
,,"Level 4 - Apartment 09","dynamic","level 4","apartment 09","first fix"
,,"Level 4 - Apartment 10","dynamic","level 4","apartment 10","first fix"
,,"Level 4 - Apartment 11","dynamic","level 4","apartment 11","first fix"
,,"Level 4 - Apartment 12","dynamic","level 4","apartment 12","first fix"
,,"Level 4 - Apartment 13","dynamic","level 4","first fix","apartment 13"
,,"Level 5 - Common Areas","dynamic","level 5","common areas","first fix"
,,"Level 5 - Apartment 01","dynamic","apartment 01","level 5","first fix"
,,"Level 5 - Apartment 02","dynamic","level 5","first fix","apartment 02"
,,"Level 5 - Apartment 03","dynamic","level 5","apartment 03","first fix"
,,"Level 5 - Apartment 04","dynamic","level 5","apartment 04","first fix"
,,"Level 5 - Apartment 05","dynamic","apartment 05","level 5","first fix"
,"Columns"
,,"Flush Boxes",,"flush boxes"
,,"Cabling",,"cabling"
,,"Cat Wires",,"cat wires"
,,"Cable Tray",,"cable tray"
,,"QA - Lights",,"qa - lights"

"Second Fix"
,"Scope",,
,"Rows"
,,"Lower Basement","dynamic","2nd fix","lower basement"
,,"Upper Basement","dynamic","2nd fix","upper basement"
,,"Ground Floor","dynamic","ground floor","2nd fix"
,,"Level 1 - Common Areas","dynamic","2nd fix","level 1","common areas"
,,"Level 1 - Apartment 01","dynamic","2nd fix","apartment 01","level 1"
,,"Level 1 - Apartment 02","dynamic","2nd fix","level 1","apartment 02"
,,"Level 1 - Apartment 03","dynamic","2nd fix","level 1","apartment 03"
,,"Level 1 - Apartment 04","dynamic","2nd fix","level 1","apartment 04"
,,"Level 1 - Apartment 05","dynamic","2nd fix","apartment 05","level 1"
,,"Level 1 - Apartment 06","dynamic","2nd fix","level 1","apartment 06"
,,"Level 1 - Apartment 07","dynamic","2nd fix","level 1","apartment 07"
,,"Level 1 - Apartment 08","dynamic","2nd fix","level 1","apartment 08"
,,"Level 1 - Apartment 09","dynamic","2nd fix","apartment 09","level 1"
,,"Level 1 - Apartment 10","dynamic","2nd fix","level 1","apartment 10"
,,"Level 1 - Apartment 11","dynamic","2nd fix","level 1","apartment 11"
,,"Level 1 - Apartment 12","dynamic","2nd fix","apartment 12","level 1"
,,"Level 1 - Apartment 13","dynamic","2nd fix","level 1","apartment 13"
,,"Level 2 - Common Areas","dynamic","2nd fix","common areas","level 2"
,,"Level 2 - Apartment 01","dynamic","2nd fix","apartment 01","level 2"
,,"Level 2 - Apartment 02","dynamic","2nd fix","level 2","apartment 02"
,,"Level 2 - Apartment 03","dynamic","2nd fix","level 2","apartment 03"
,,"Level 2 - Apartment 04","dynamic","2nd fix","apartment 04","level 2"
,,"Level 2 - Apartment 05","dynamic","2nd fix","apartment 05","level 2"
,,"Level 2 - Apartment 06","dynamic","2nd fix","level 2","apartment 06"
,,"Level 2 - Apartment 07","dynamic","2nd fix","level 2","apartment 07"
,,"Level 2 - Apartment 08","dynamic","2nd fix","apartment 08","level 2"
,,"Level 2 - Apartment 09","dynamic","2nd fix","apartment 09","level 2"
,,"Level 2 - Apartment 10","dynamic","2nd fix","level 2","apartment 10"
,,"Level 2 - Apartment 11","dynamic","2nd fix","apartment 11","level 2"
,,"Level 2 - Apartment 12","dynamic","2nd fix","apartment 12","level 2"
,,"Level 2 - Apartment 13","dynamic","2nd fix","level 2","apartment 13"
,,"Level 3 - Common Areas","dynamic","2nd fix","common areas","level 3"
,,"Level 3 - Apartment 01","dynamic","2nd fix","apartment 01","level 3"
,,"Level 3 - Apartment 02","dynamic","2nd fix","level 3","apartment 02"
,,"Level 3 - Apartment 03","dynamic","2nd fix","apartment 03","level 3"
,,"Level 3 - Apartment 04","dynamic","2nd fix","apartment 04","level 3"
,,"Level 3 - Apartment 05","dynamic","2nd fix","apartment 05","level 3"
,,"Level 3 - Apartment 06","dynamic","2nd fix","level 3","apartment 06"
,,"Level 3 - Apartment 07","dynamic","2nd fix","apartment 07","level 3"
,,"Level 3 - Apartment 08","dynamic","2nd fix","apartment 08","level 3"
,,"Level 3 - Apartment 09","dynamic","2nd fix","apartment 09","level 3"
,,"Level 3 - Apartment 10","dynamic","2nd fix","apartment 10","level 3"
,,"Level 3 - Apartment 11","dynamic","2nd fix","apartment 11","level 3"
,,"Level 3 - Apartment 12","dynamic","2nd fix","apartment 12","level 3"
,,"Level 3 - Apartment 13","dynamic","2nd fix","level 3","apartment 13"
,,"Level 4 - Common Areas","dynamic","2nd fix","level 4","common areas"
,,"Level 4 - Apartment 01","dynamic","2nd fix","level 4","apartment 01"
,,"Level 4 - Apartment 02","dynamic","2nd fix","level 4","apartment 02"
,,"Level 4 - Apartment 03","dynamic","2nd fix","level 4","apartment 03"
,,"Level 4 - Apartment 04","dynamic","2nd fix","level 4","apartment 04"
,,"Level 4 - Apartment 05","dynamic","2nd fix","level 4","apartment 05"
,,"Level 4 - Apartment 06","dynamic","2nd fix","level 4","apartment 06"
,,"Level 4 - Apartment 07","dynamic","2nd fix","level 4","apartment 07"
,,"Level 4 - Apartment 08","dynamic","2nd fix","level 4","apartment 08"
,,"Level 4 - Apartment 09","dynamic","2nd fix","level 4","apartment 09"
,,"Level 4 - Apartment 10","dynamic","2nd fix","level 4","apartment 10"
,,"Level 4 - Apartment 11","dynamic","2nd fix","level 4","apartment 11"
,,"Level 4 - Apartment 12","dynamic","2nd fix","level 4","apartment 12"
,,"Level 4 - Apartment 13","dynamic","2nd fix","level 4","apartment 13"
,,"Level 5 - Common Areas","dynamic","2nd fix","level 5","common areas"
,,"Level 5 - Apartment 01","dynamic","2nd fix","apartment 01","level 5"
,,"Level 5 - Apartment 02","dynamic","2nd fix","level 5","apartment 02"
,,"Level 5 - Apartment 03","dynamic","2nd fix","level 5","apartment 03"
,,"Level 5 - Apartment 04","dynamic","2nd fix","level 5","apartment 04"
,,"Level 5 - Apartment 05","dynamic","2nd fix","apartment 05","level 5"
,"Columns"
,,"Power Outlets",,"power outlets"
,,"Light Switches",,"light switches"
,,"Light Fixtures & PIR Sensors",,"light fixtures & pir sensors"

"FEL SM Weekly Site Checklist"
,"Scope",,
,"Rows"
,,"dynamic",,"fel sm weekly site checklist"
,"Columns"
,,"Monday",,"monday"
,,"Prestart Meeting with Team",,"prestart meeting with team"
,,"Health Check",,"health check"
,,"Review Tasks for the week",,"review tasks for the week"
,,"Identify Targets Including Hours",,"identify targets including hours"
,,"Approve hours by 9AM for previous week",,"approve hours by 9am for previous week"
,,"Sign off Subcontractor Hours & Submit",,"sign off subcontractor hours & submit"
,,"Review SWMS",,"review swms"
,,"Site Toolbox Meeting",,"site toolbox meeting"
,,"SSSP in Order",,"sssp in order"
,,"Tuesday",,"tuesday"
,,"Follow up outstanding RFI's with PM",,"follow up outstanding rfi's with pm"
,,"Wednesday",,"wednesday"
,,"Review Roadblocks & Follow Up if still unresolved",,"review roadblocks & follow up if still unresolved"
,,"QAs up to date",,"qas up to date"
,,"Thursday",,"thursday"
,,"Weekly planner filled out for week ahead",,"weekly planner filled out for week ahead"
,,"Roadblocks identified and actioned",,"roadblocks identified and actioned"
,,"Materials organized for week ahead",,"materials organized for week ahead"
,,"Plans printed with any relevant notes added",,"plans printed with any relevant notes added"
,,"Friday",,"friday"
,,"Submit Toolbox minutes to main contractor and FEL office",,"submit toolbox minutes to main contractor and fel office"
,,"Job Cards up to date and submitted",,"job cards up to date and submitted"
,,"Team tasks for week ahead filled out on whiteboard",,"team tasks for week ahead filled out on whiteboard"

